"","contry","confirmed","death","Transmission.classification","Days.since.last.reported.case","date"
"1","China","81116","3231","Local transmission","0","20200318"
"2","Republic of Korea","8320","81","Local transmission","0","20200318"
"3","Japan","829","28","Local transmission","0","20200318"
"4","Malaysia","553","0","Local transmission","1","20200318"
"5","Australia","414","5","Local transmission","0","20200318"
"6","Singapore","266","0","Local transmission","0","20200318"
"7","Philippines","187","12","Local transmission","0","20200318"
"8","Viet Nam","61","0","Local transmission","0","20200318"
"9","Brunei Darussalam","54","0","Local transmission","0","20200318"
"10","Cambodia","24","0","Local transmission","0","20200318"
"11","New Zealand","11","0","Local transmission","0","20200318"
"12","Mongolia","4","0","Imported cases only","1","20200318"
"13","Territories**","","","","","20200318"
"14","French Polynesia","3","0","Imported cases only","2","20200318"
"15","Guam","3","0","Local transmission","0","20200318"
"16","European Region","","","","","20200318"
"17","Italy","31506","2503","Local transmission","0","20200318"
"18","Spain","11178","491","Local transmission","0","20200318"
"19","France","7652","175","Local transmission","0","20200318"
"20","Germany","7156","13","Local transmission","0","20200318"
"21","Switzerland","2650","14","Local transmission","0","20200318"
"22","The United Kingdom","1954","55","Local transmission","0","20200318"
"23","Netherlands","1705","43","Local transmission","0","20200318"
"24","Belgium","1486","14","Local transmission","0","20200318"
"25","Austria","1332","3","Local transmission","0","20200318"
"26","Norway","1308","3","Local transmission","0","20200318"
"27","Sweden","1167","3","Local transmission","0","20200318"
"28","Denmark","977","4","Local transmission","0","20200318"
"29","Portugal","448","1","Local transmission","0","20200318"
"30","Czechia","434","0","Local transmission","0","20200318"
"31","Greece","387","4","Local transmission","0","20200318"
"32","Finland","319","0","Local transmission","0","20200318"
"33","Israel","304","0","Local transmission","1","20200318"
"34","Ireland","292","2","Local transmission","0","20200318"
"35","Slovenia","275","1","Local transmission","0","20200318"
"36","Poland","246","5","Local transmission","0","20200318"
"37","Estonia","225","0","Local transmission","0","20200318"
"38","Iceland","225","0","Local transmission","0","20200318"
"39","Romania","184","0","Local transmission","0","20200318"
"40","Luxembourg","140","1","Local transmission","0","20200318"
"41","San Marino","104","11","Local transmission","0","20200318"
"42","Slovakia","97","0","Local transmission","0","20200318"
"43","Russian Federation","93","0","Imported cases only","1","20200318"
"44","Bulgaria","81","2","Local transmission","0","20200318"
"45","Serbia","85","0","Local transmission","0","20200318"
"46","Croatia","65","0","Local transmission","0","20200318"
"47","Latvia","60","0","Imported cases only","0","20200318"
"48","Albania","55","1","Local transmission","0","20200318"
"49","Armenia","52","0","Local transmission","1","20200318"
"50","Hungary","50","1","Local transmission","0","20200318"
"51","Turkey","47","0","Imported cases only","1","20200318"
"52","Malta","38","0","Imported cases only","0","20200318"
"53","Belarus","36","0","Local transmission","1","20200318"
"54","Georgia","34","0","Imported cases only","0","20200318"
"55","Cyprus","33","0","Imported cases only","1","20200318"
"56","Kazakhstan","33","0","Imported cases only","0","20200318"
"57","North Macedonia","31","0","Local transmission","0","20200318"
"58","Republic of Moldova","30","0","Local transmission","0","20200318"
"59","Lithuania","25","0","Imported cases only","0","20200318"
"60","Azerbaijan","21","0","Imported cases only","2","20200318"
"61","Bosnia and","",NA,"",NA,"20200318"
"62","Bosnia and Herzegovina","19","0","Local transmission","2","20200318"
"63","Andorra","16","0","Imported cases only","0","20200318"
"64","Uzbekistan","16","0","Imported cases only","0","20200318"
"65","Ukraine","14","2","Local transmission","0","20200318"
"66","Monaco","9","0","Under investigation","1","20200318"
"67","Liechtenstein","7","0","Imported cases only","1","20200318"
"68","Montenegro","2","0","Imported cases only","0","20200318"
"69","Holy See","1","0","Under investigation","11","20200318"
"70","","erritories**",NA,"",NA,"20200318"
"71","Faroe Islands","47","0","Imported cases only","0","20200318"
"72","Jersey","5","0","Imported cases only","0","20200318"
"73","Gibraltar","3","0","Under investigation","1","20200318"
"74","Guernsey","1","0","Imported cases only","8","20200318"
"75","","outh-East Asia Region",NA,"",NA,"20200318"
"76","Thailand","177","1","Local transmission","0","20200318"
"77","Indonesia","172","5","Local transmission","1","20200318"
"78","India","137","3","Local transmission","0","20200318"
"79","Sri Lanka","29","0","Local transmission","0","20200318"
"80","Maldives","13","0","Local transmission","2","20200318"
"81","Bangladesh","8","0","Local transmission","1","20200318"
"82","Bhutan","1","0","Imported cases only","11","20200318"
"83","Nepal","1","0","Imported cases only","54","20200318"
"84","","astern Mediterranean Region",NA,"",NA,"20200318"
"85","Iran (Islamic Republic","",NA,"",NA,"20200318"
"86","Iran (Islamic Republic of)","16169","988","Local transmission","0","20200318"
"87","Qatar","442","0","Local transmission","0","20200318"
"88","Bahrain","237","1","Local transmission","0","20200318"
"89","Pakistan","187","0","Imported cases only","0","20200318"
"90","Saudi Arabia","171","0","Local transmission","0","20200318"
"91","Egypt","166","4","Local transmission","0","20200318"
"92","Iraq","154","11","Local transmission","0","20200318"
"93","Kuwait","130","0","Local transmission","0","20200318"
"94","Lebanon","120","3","Local transmission","0","20200318"
"95","United Arab Emirates","98","0","Local transmission","2","20200318"
"96","Morocco","38","2","Local transmission","0","20200318"
"97","Jordan","35","0","Imported cases only","0","20200318"
"98","Oman","24","0","Imported cases only","0","20200318"
"99","Tunisia","24","0","Local transmission","0","20200318"
"100","Afghanistan","22","0","Imported cases only","0","20200318"
"101","Somalia","1","0","Imported cases only","1","20200318"
"102","Sudan","1","1","Imported cases only","3","20200318"
"103","","erritories**",NA,"",NA,"20200318"
"104","occupied Palestinian","",NA,"",NA,"20200318"
"105","occupied Palestinian territory","41","0","Local transmission","0","20200318"
"106","","egion of the Americas",NA,"",NA,"20200318"
"107","United States of","",NA,"",NA,"20200318"
"108","United States of America","3536","58","Local transmission","0","20200318"
"109","Canada","424","1","Local transmission","0","20200318"
"110","Brazil","234","0","Local transmission","0","20200318"
"111","Chile","156","0","Local transmission","0","20200318"
"112","Peru","86","0","Local transmission","0","20200318"
"113","Mexico","82","0","Imported cases only","0","20200318"
"114","Panama","69","1","Local transmission","0","20200318"
"115","Argentina","65","2","Local transmission","0","20200318"
"116","Ecuador","58","2","Local transmission","0","20200318"
"117","Colombia","45","0","Local transmission","0","20200318"
"118","Costa Rica","41","0","Local transmission","0","20200318"
"119","Venezuela (Bolivarian","",NA,"",NA,"20200318"
"120","Venezuela (Bolivarian Republic of)","33","0","Imported cases only","0","20200318"
"121","Dominican Republic","21","1","Local transmission","0","20200318"
"122","Jamaica","12","0","Local transmission","0","20200318"
"123","Bolivia (Plurinational","",NA,"",NA,"20200318"
"124","Bolivia (Plurinational State of)","11","0","Imported cases only","1","20200318"
"125","Paraguay","9","0","Local transmission","0","20200318"
"126","Honduras","8","0","Imported cases only","0","20200318"
"127","Guatemala","6","1","Imported cases only","0","20200318"
"128","Uruguay","6","0","Imported cases only","0","20200318"
"129","Cuba","5","0","Imported cases only","0","20200318"
"130","Trinidad and Tobago","5","0","Imported cases only","0","20200318"
"131","Guyana","4","1","Local transmission","2","20200318"
"132","Saint Lucia","2","0","Imported cases only","2","20200318"
"133","Antigua and Barbuda","1","0","Imported cases only","4","20200318"
"134","Bahamas","1","0","Local transmission","0","20200318"
"135","Saint Vincent and the","",NA,"",NA,"20200318"
"136","Saint Vincent and the Grenadines","1","0","Imported cases only","4","20200318"
"137","Suriname","1","0","Imported cases only","2","20200318"
"138","","erritories**",NA,"",NA,"20200318"
"139","Guadeloupe","18","0","Imported cases only","0","20200318"
"140","Martinique","16","0","Imported cases only","1","20200318"
"141","French Guiana","7","0","Imported cases only","3","20200318"
"142","Curacao","3","0","Imported cases only","0","20200318"
"143","Puerto Rico","3","0","Imported cases only","3","20200318"
"144","Saint Barthélemy","3","0","Under investigation","2","20200318"
"145","Aruba","2","0","Imported cases only","0","20200318"
"146","Saint Martin","2","0","Under investigation","15","20200318"
"147","United States Virgin","",NA,"",NA,"20200318"
"148","United States Virgin Island","2","0","Imported cases only","0","20200318"
"149","Cayman Islands","1","1","Imported cases only","4","20200318"
"150","","frican Region",NA,"",NA,"20200318"
"151","South Africa","62","0","Local transmission","0","20200318"
"152","Algeria","60","4","Local transmission","0","20200318"
"153","Senegal","27","0","Local transmission","0","20200318"
"154","Burkina Faso","20","0","Imported cases only","0","20200318"
"155","Rwanda","7","0","Local transmission","0","20200318"
"156","Cote d’Ivoire","6","0","Imported cases only","0","20200318"
"157","Ghana","6","0","Imported cases only","0","20200318"
"158","Cameroon","5","0","Local transmission","1","20200318"
"159","Ethiopia","5","0","Imported cases only","0","20200318"
"160","Seychelles","4","0","Imported cases only","1","20200318"
"161","Democratic Republic",NA,NA,"",NA,"20200318"
"162","Democratic Republic of the Congo","3","0","Imported cases only","0","20200318"
"163","of the Congo",NA,NA,"",NA,"20200318"
"164","Kenya","3","0","Local transmission","1","20200318"
"165","Namibia","2","0","Imported cases only","3","20200318"
"166","Nigeria","2","0","Imported cases only","8","20200318"
"167","Benin","1","0","Imported cases only","0","20200318"
"168","Central African",NA,NA,"",NA,"20200318"
"169","Central African Republic","1","0","Imported cases only","3","20200318"
"170","Republic",NA,NA,"",NA,"20200318"
"171","Congo","1","0","Imported cases only","2","20200318"
"172","Equatorial Guinea","1","0","Imported cases only","3","20200318"
"173","Eswatini","1","0","Imported cases only","3","20200318"
"174","Gabon","1","0","Imported cases only","3","20200318"
"175","Guinea","1","0","Imported cases only","3","20200318"
"176","Liberia","1","0","Imported cases only","0","20200318"
"177","Mauritania","1","0","Imported cases only","3","20200318"
"178","Togo","1","0","Imported cases only","10","20200318"
"179","United Republic of",NA,NA,"",NA,"20200318"
"180","United Republic of Tanzania","1","0","Imported cases only","0","20200318"
"181","Tanzania",NA,NA,"",NA,"20200318"
"182","Territories**",NA,NA,"",NA,"20200318"
"183","Réunion","9","0","Imported cases only","2","20200318"
"184","Mayotte","1","0","Imported cases only","3","20200318"
"185","Subtotal for all",NA,NA,"",NA,"20200318"
"186","","190415","7800","",NA,"20200318"
"187","regions",NA,NA,"",NA,"20200318"
"188","International",NA,NA,"",NA,"20200318"
"189","conveyance","712","7","Local transmission","2","20200318"
"190","(Diamond Princess)",NA,NA,"",NA,"20200318"
"191","Grand total","191127","7807","",NA,"20200318"
